date,storage,inflow,outflow,elevation,evaporation
1955-03-01,6.537,56.634,NA,74.981,NA
1955-03-02,6.784,55.694,NA,75.164,NA
1955-03-03,6.044,51.891,NA,74.706,NA
1955-03-04,6.167,56.164,NA,74.767,NA
1955-03-05,6.044,53.79,NA,74.676,NA
1955-03-06,5.921,50.845,NA,74.554,NA
1955-03-07,5.921,50.97,NA,74.585,NA
1955-03-08,6.291,55.536,NA,74.859,NA
1955-03-09,7.401,64.951,NA,75.56,NA
1955-03-10,10.485,99.488,NA,77.267,NA
1955-03-11,11.841,86.496,NA,77.998,NA
1955-03-12,12.705,87.298,NA,78.456,NA
1955-03-13,12.335,80.667,NA,78.242,NA
1955-03-14,12.088,78.131,NA,78.151,NA
1955-03-15,12.211,77.6,NA,78.212,NA
1955-03-16,11.718,69.329,NA,77.937,NA
1955-03-17,12.088,63.748,NA,78.151,NA
1955-03-18,12.582,63.193,NA,78.364,NA
1955-03-19,12.582,58.049,NA,78.395,NA
1955-03-20,12.828,60.905,NA,78.516,NA
1955-03-21,15.542,61.14,NA,79.766,NA
1955-03-22,19.736,59.016,NA,81.504,NA
1955-03-23,23.559,54.733,NA,82.936,NA
1955-03-24,27.507,57.294,NA,84.247,NA
1955-03-25,31.947,61.758,NA,85.618,NA
1955-03-26,37.374,72.726,NA,87.112,NA
1955-03-27,43.295,86.931,NA,88.575,NA
1955-03-28,52.176,116.947,NA,90.526,NA
1955-03-29,65.498,162.678,NA,93.055,NA
1955-03-30,78.573,161.522,NA,95.25,NA
1955-03-31,88.194,121.123,NA,96.683,NA
1955-04-01,97.028,110.744,NA,97.902,NA
1955-04-02,105.369,105.599,NA,98.999,NA
1955-04-03,112.491,91.769,NA,99.883,NA
1955-04-04,118.68,81.26,NA,100.614,NA
1955-04-05,124.335,75.36,NA,101.255,NA
1955-04-06,129.935,74.153,NA,101.864,NA
1955-04-07,134.573,61.476,NA,102.352,NA
1955-04-08,141.187,84.472,NA,103.022,NA
1955-04-09,147.453,80.593,NA,103.632,NA
1955-04-10,156.646,114.609,NA,104.485,NA
1955-04-11,166.68,124.63,NA,105.369,NA
1955-04-12,175.011,105.063,NA,106.07,NA
1955-04-13,182.54,95.92,NA,106.68,NA
1955-04-14,190.734,103.76,NA,107.32,NA
1955-04-15,197.182,85.95,NA,107.808,NA
1955-04-16,204.227,92.975,NA,108.326,NA
1955-04-17,215.398,140.335,NA,109.118,NA
1955-04-18,226.183,135.617,NA,109.85,NA
1955-04-19,235.986,124.613,NA,110.49,NA
1955-04-20,244.187,106.105,NA,111.008,NA
1955-04-21,254.166,126.688,NA,111.618,NA
1955-04-22,267.169,203.186,NA,112.38,NA
1955-04-23,274.161,156.358,NA,112.776,NA
1955-04-24,280.222,145.791,NA,113.111,NA
1955-04-25,287.546,160.89,NA,113.508,NA
1955-04-26,295.037,163.547,NA,113.904,NA
1955-04-27,300.33,138.473,NA,114.178,NA
1955-04-28,303.298,140.122,NA,114.33,NA
1955-04-29,302.696,132.319,NA,114.3,NA
1955-04-30,302.104,132.443,NA,114.27,NA
1955-05-01,301.513,132.188,NA,114.239,NA
1955-05-02,302.696,143.64,NA,114.3,NA
1955-05-03,302.104,124.514,NA,114.27,NA
1955-05-04,302.696,132.206,NA,114.3,NA
1955-05-05,306.31,168.233,NA,114.483,NA
1955-05-06,313.623,211.391,NA,114.849,NA
1955-05-07,324.897,257.942,NA,115.397,NA
1955-05-08,337.834,278.375,NA,116.007,NA
1955-05-09,349.172,299.954,NA,116.525,NA
1955-05-10,360.122,286.306,NA,117.013,NA
1955-05-11,374.913,283.825,NA,117.653,NA
1955-05-12,393.145,296.76,NA,118.415,NA
1955-05-13,410.475,286.461,NA,119.116,NA
1955-05-14,425.208,260.282,NA,119.695,NA
1955-05-15,434.693,199.861,NA,120.061,NA
1955-05-16,442.714,183.732,NA,120.366,NA
1955-05-17,443.517,100.504,NA,120.396,NA
1955-05-18,450.834,171.079,NA,120.67,NA
1955-05-19,464.874,247.334,NA,121.188,NA
1955-05-20,479.188,247.85,NA,121.707,NA
1955-05-21,499.01,299.19,NA,122.408,NA
1955-05-22,517.561,285.691,NA,123.048,NA
1955-05-23,535.634,282.77,NA,123.657,NA
1955-05-24,547.582,279.31,NA,124.054,NA
1955-05-25,553.17,211.523,NA,124.236,NA
1955-05-26,555.033,181.234,NA,124.297,NA
1955-05-27,555.964,173.006,NA,124.328,NA
1955-05-28,556.895,193.451,NA,124.358,NA
1955-05-29,557.836,215.113,NA,124.389,NA
1955-05-30,560.66,246.691,NA,124.48,NA
1955-05-31,556.895,206.416,NA,124.358,NA
1955-06-01,553.17,148.308,NA,124.236,NA
1955-06-02,555.033,131.085,NA,124.297,NA
1955-06-03,558.778,153.495,NA,124.419,NA
1955-06-04,561.601,149.168,NA,124.511,NA
1955-06-05,561.601,187.372,NA,124.511,NA
1955-06-06,556.895,214.213,NA,124.358,NA
1955-06-07,555.033,175.81,NA,124.297,NA
1955-06-08,558.778,206.419,NA,124.419,NA
1955-06-09,559.719,194.268,NA,124.45,NA
1955-06-10,558.778,170.056,NA,124.419,NA
1955-06-11,556.895,153.1,NA,124.358,NA
1955-06-12,555.964,124.745,NA,124.328,NA
1955-06-13,555.964,111.54,NA,124.328,NA
1955-06-14,556.895,113.994,NA,124.358,NA
1955-06-15,555.964,91.416,NA,124.328,NA
1955-06-16,555.033,76.012,NA,124.297,NA
1955-06-17,555.033,79.429,NA,124.297,NA
1955-06-18,553.17,59.572,NA,124.236,NA
1955-06-19,552.239,71.17,NA,124.206,NA
1955-06-20,551.308,71.396,NA,124.176,NA
1955-06-21,549.445,60.45,NA,124.115,NA
1955-06-22,547.582,54.727,NA,124.054,NA
1955-06-23,546.661,53.161,NA,124.023,NA
1955-06-24,544.818,41.763,NA,123.962,NA
1955-06-25,542.975,41.279,NA,123.901,NA
1955-06-26,541.133,41.618,NA,123.84,NA
1955-06-27,539.29,41.112,NA,123.779,NA
1955-06-28,536.545,36.76,NA,123.688,NA
1955-06-29,532.899,27.205,NA,123.566,NA
1955-06-30,530.165,38.18,NA,123.474,NA
1955-07-01,526.548,25.537,NA,123.353,NA
1955-07-02,524.745,34.061,NA,123.292,NA
1955-07-03,522.04,23.543,NA,123.2,NA
1955-07-04,520.236,33.127,NA,123.139,NA
1955-07-05,518.453,23.699,NA,123.078,NA
1955-07-06,516.669,13.593,NA,123.017,NA
1955-07-07,515.777,23.715,NA,122.987,NA
1955-07-08,514.885,28.047,NA,122.956,NA
1955-07-09,513.102,22.825,NA,122.895,NA
1955-07-10,513.994,16.747,NA,122.926,NA
1955-07-11,510.436,18.662,NA,122.804,NA
1955-07-12,506.027,22.445,NA,122.652,NA
1955-07-13,502.499,20.845,NA,122.53,NA
