date,storage,inflow,outflow,elevation,evaporation
1970-05-12,20.989,NA,NA,2056.486,0
1970-05-13,NA,NA,NA,NA,NA
1970-05-14,NA,NA,NA,NA,NA
1970-05-15,NA,NA,NA,NA,NA
1970-05-16,NA,NA,NA,NA,NA
1970-05-17,NA,NA,NA,NA,NA
1970-05-18,21.322,NA,NA,2056.537,0
1970-05-19,21.421,NA,NA,2056.553,0
1970-05-20,21.618,NA,NA,2056.583,0
1970-05-21,21.916,NA,NA,2056.629,0
1970-05-22,22.42,NA,NA,2056.705,0
1970-05-23,23.03,NA,NA,2056.796,0
1970-05-24,NA,NA,NA,NA,NA
1970-05-25,23.839,NA,NA,2056.915,0
1970-05-26,24.091,NA,NA,2056.952,0
1970-05-27,24.387,NA,NA,2056.995,0
1970-05-28,25.31,NA,NA,2057.126,0
1970-05-29,25.767,NA,NA,2057.19,0
1970-05-30,NA,NA,NA,NA,NA
1970-05-31,25.965,NA,NA,2057.217,0
1970-06-01,25.767,NA,NA,2057.19,0
1970-06-02,25.244,NA,NA,2057.117,0
1970-06-03,24.707,NA,NA,2057.04,0
1970-06-04,24.409,NA,NA,2056.998,0
1970-06-05,24.387,NA,NA,2056.995,0
1970-06-06,24.472,NA,NA,2057.007,0
1970-06-07,24.58,NA,NA,2057.022,0
1970-06-08,24.665,NA,NA,2057.034,0
1970-06-09,24.707,NA,NA,2057.04,0
1970-06-10,24.686,NA,NA,2057.037,0
1970-06-11,25.244,NA,NA,2057.117,0
1970-06-12,25.745,NA,NA,2057.187,0
1970-06-13,NA,NA,NA,NA,NA
1970-06-14,NA,NA,NA,NA,NA
1970-06-15,26.451,NA,NA,2057.284,0
1970-06-16,26.63,NA,NA,2057.309,0
1970-06-17,26.674,NA,NA,2057.315,0
1970-06-18,26.696,NA,NA,2057.318,0
1970-06-19,26.652,NA,NA,2057.312,0
1970-06-20,26.674,NA,NA,2057.315,0
1970-06-21,26.875,NA,NA,2057.342,0
1970-06-22,27.257,NA,NA,2057.394,0
1970-06-23,27.371,NA,NA,2057.409,0
1970-06-24,27.598,NA,NA,2057.44,0
1970-06-25,27.576,NA,NA,2057.437,0
1970-06-26,27.507,NA,NA,2057.427,0
1970-06-27,27.325,NA,NA,2057.403,0
1970-06-28,27.1,NA,NA,2057.373,0
1970-06-29,26.875,NA,NA,2057.342,0
1970-06-30,26.63,NA,NA,2057.309,0
1970-07-01,26.186,NA,NA,2057.248,0
1970-07-02,25.723,NA,NA,2057.184,0
1970-07-03,25.441,NA,NA,2057.144,0
1970-07-04,NA,NA,NA,NA,NA
1970-07-05,NA,NA,NA,NA,NA
1970-07-06,24.707,NA,NA,2057.04,0
1970-07-07,24.409,NA,NA,2056.998,0
1970-07-08,24.134,NA,NA,2056.958,0
1970-07-09,23.923,NA,NA,2056.928,0
1970-07-10,23.756,NA,NA,2056.903,0
1970-07-11,NA,NA,NA,NA,NA
1970-07-12,NA,NA,NA,NA,NA
1970-07-13,23.402,NA,NA,2056.851,0
1970-07-14,23.298,NA,NA,2056.836,0
1970-07-15,23.154,NA,NA,2056.815,0
1970-07-16,23.03,NA,NA,2056.796,0
1970-07-17,22.866,NA,NA,2056.772,0
1970-07-18,NA,NA,NA,NA,NA
1970-07-19,NA,NA,NA,NA,NA
1970-07-20,22.258,NA,NA,2056.681,0
1970-07-21,21.916,NA,NA,2056.629,0
1970-07-22,21.44,NA,NA,2056.556,0
1970-07-23,21.048,NA,NA,2056.495,0
1970-07-24,20.698,NA,NA,2056.44,0
1970-07-25,NA,NA,NA,NA,NA
1970-07-26,NA,NA,NA,NA,NA
1970-07-27,19.593,NA,NA,2056.263,0
1970-07-28,19.239,NA,NA,2056.205,0
1970-07-29,18.87,NA,NA,2056.144,0
1970-07-30,18.634,NA,NA,2056.105,0
1970-07-31,18.347,NA,NA,2056.056,0
1970-08-01,NA,NA,NA,NA,NA
1970-08-02,NA,NA,NA,NA,NA
1970-08-03,17.752,NA,NA,2055.952,0
1970-08-04,17.412,NA,NA,2055.891,0
1970-08-05,17.095,NA,NA,2055.833,0
1970-08-06,16.751,NA,NA,2055.769,0
1970-08-07,16.351,NA,NA,2055.693,0
1970-08-08,NA,NA,NA,NA,NA
1970-08-09,NA,NA,NA,NA,NA
1970-08-10,15.069,NA,NA,2055.434,0
1970-08-11,14.683,NA,NA,2055.352,0
1970-08-12,14.253,NA,NA,2055.257,0
1970-08-13,13.862,NA,NA,2055.169,0
1970-08-14,13.496,NA,NA,2055.084,0
1970-08-15,NA,NA,NA,NA,NA
1970-08-16,NA,NA,NA,NA,NA
1970-08-17,12.456,NA,NA,2054.827,0
1970-08-18,12.029,NA,NA,2054.718,0
1970-08-19,12.758,NA,NA,2054.904,0
1970-08-20,11.117,NA,NA,2054.474,0
1970-08-21,10.735,NA,NA,2054.367,0
1970-08-22,NA,NA,NA,NA,NA
1970-08-23,NA,NA,NA,NA,NA
1970-08-24,9.74,NA,NA,2054.078,0
1970-08-25,9.437,NA,NA,2053.986,0
1970-08-26,9.16,NA,NA,2053.901,0
1970-08-27,8.946,NA,NA,2053.834,0
1970-08-28,8.679,NA,NA,2053.749,0
1970-08-29,NA,NA,NA,NA,NA
1970-08-30,NA,NA,NA,NA,NA
1970-08-31,8.142,NA,NA,2053.572,0
1970-09-01,NA,NA,NA,NA,NA
1970-09-02,NA,NA,NA,NA,NA
1970-09-03,NA,NA,NA,NA,NA
1970-09-04,NA,NA,NA,NA,NA
1970-09-05,NA,NA,NA,NA,NA
1970-09-06,NA,NA,NA,NA,NA
1970-09-07,NA,NA,NA,NA,NA
1970-09-08,NA,NA,NA,NA,NA
1970-09-09,NA,NA,NA,NA,NA
1970-09-10,NA,NA,NA,NA,NA
1970-09-11,NA,NA,NA,NA,NA
1970-09-12,NA,NA,NA,NA,NA
1970-09-13,NA,NA,NA,NA,NA
1970-09-14,NA,NA,NA,NA,NA
1970-09-15,NA,NA,NA,NA,NA
1970-09-16,NA,NA,NA,NA,NA
1970-09-17,NA,NA,NA,NA,NA
1970-09-18,NA,NA,NA,NA,NA
1970-09-19,NA,NA,NA,NA,NA
1970-09-20,NA,NA,NA,NA,NA
1970-09-21,NA,NA,NA,NA,NA
1970-09-22,NA,NA,NA,NA,NA
1970-09-23,NA,NA,NA,NA,NA
1970-09-24,NA,NA,NA,NA,NA
1970-09-25,NA,NA,NA,NA,NA
1970-09-26,NA,NA,NA,NA,NA
1970-09-27,NA,NA,NA,NA,NA
1970-09-28,NA,NA,NA,NA,NA
1970-09-29,NA,NA,NA,NA,NA
1970-09-30,NA,NA,NA,NA,NA
1970-10-01,NA,NA,NA,NA,NA
1970-10-02,NA,NA,NA,NA,NA
1970-10-03,NA,NA,NA,NA,NA
1970-10-04,NA,NA,NA,NA,NA
1970-10-05,NA,NA,NA,NA,NA
1970-10-06,NA,NA,NA,NA,NA
1970-10-07,NA,NA,NA,NA,NA
1970-10-08,NA,NA,NA,NA,NA
1970-10-09,NA,NA,NA,NA,NA
1970-10-10,NA,NA,NA,NA,NA
1970-10-11,NA,NA,NA,NA,NA
1970-10-12,NA,NA,NA,NA,NA
1970-10-13,NA,NA,NA,NA,NA
1970-10-14,NA,NA,NA,NA,NA
1970-10-15,NA,NA,NA,NA,NA
1970-10-16,NA,NA,NA,NA,NA
1970-10-17,NA,NA,NA,NA,NA
1970-10-18,NA,NA,NA,NA,NA
1970-10-19,NA,NA,NA,NA,NA
1970-10-20,NA,NA,NA,NA,NA
1970-10-21,NA,NA,NA,NA,NA
1970-10-22,NA,NA,NA,NA,NA
1970-10-23,NA,NA,NA,NA,NA
1970-10-24,NA,NA,NA,NA,NA
1970-10-25,NA,NA,NA,NA,NA
1970-10-26,NA,NA,NA,NA,NA
1970-10-27,NA,NA,NA,NA,NA
1970-10-28,NA,NA,NA,NA,NA
1970-10-29,NA,NA,NA,NA,NA
1970-10-30,NA,NA,NA,NA,NA
1970-10-31,NA,NA,NA,NA,NA
1970-11-01,NA,NA,NA,NA,NA
1970-11-02,NA,NA,NA,NA,NA
1970-11-03,NA,NA,NA,NA,NA
1970-11-04,NA,NA,NA,NA,NA
1970-11-05,NA,NA,NA,NA,NA
1970-11-06,NA,NA,NA,NA,NA
1970-11-07,NA,NA,NA,NA,NA
1970-11-08,NA,NA,NA,NA,NA
1970-11-09,NA,NA,NA,NA,NA
1970-11-10,NA,NA,NA,NA,NA
1970-11-11,NA,NA,NA,NA,NA
1970-11-12,NA,NA,NA,NA,NA
1970-11-13,NA,NA,NA,NA,NA
1970-11-14,NA,NA,NA,NA,NA
1970-11-15,NA,NA,NA,NA,NA
1970-11-16,NA,NA,NA,NA,NA
1970-11-17,NA,NA,NA,NA,NA
1970-11-18,NA,NA,NA,NA,NA
1970-11-19,NA,NA,NA,NA,NA
1970-11-20,NA,NA,NA,NA,NA
