date,storage,inflow,outflow,elevation,evaporation
1975-10-01,310.534,NA,NA,591.498,NA
1975-10-02,310.389,NA,NA,591.495,NA
1975-10-03,310.246,NA,NA,591.492,NA
1975-10-04,310.246,NA,NA,591.492,NA
1975-10-05,310.246,NA,NA,591.492,NA
1975-10-06,310.246,NA,NA,591.492,NA
1975-10-07,310.103,NA,NA,591.489,NA
1975-10-08,309.388,NA,NA,591.474,NA
1975-10-09,309.96,NA,NA,591.486,NA
1975-10-10,309.96,NA,NA,591.486,NA
1975-10-11,309.674,NA,NA,591.48,NA
1975-10-12,309.674,NA,NA,591.48,NA
1975-10-13,309.674,NA,NA,591.48,NA
1975-10-14,309.817,NA,NA,591.483,NA
1975-10-15,309.674,NA,NA,591.48,NA
1975-10-16,309.388,NA,NA,591.474,NA
1975-10-17,309.245,NA,NA,591.47,NA
1975-10-18,309.388,NA,NA,591.474,NA
1975-10-19,309.245,NA,NA,591.47,NA
1975-10-20,309.388,NA,NA,591.474,NA
1975-10-21,309.531,NA,NA,591.477,NA
1975-10-22,309.674,NA,NA,591.48,NA
1975-10-23,309.245,NA,NA,591.47,NA
1975-10-24,309.674,NA,NA,591.48,NA
1975-10-25,309.388,NA,NA,591.474,NA
1975-10-26,309.101,NA,NA,591.467,NA
1975-10-27,309.245,NA,NA,591.47,NA
1975-10-28,309.245,NA,NA,591.47,NA
1975-10-29,309.388,NA,NA,591.474,NA
1975-10-30,309.388,NA,NA,591.474,NA
1975-10-31,309.388,NA,NA,591.474,NA
1975-11-01,309.674,NA,NA,591.48,NA
1975-11-02,309.96,NA,NA,591.486,NA
1975-11-03,310.246,NA,NA,591.492,NA
1975-11-04,310.534,NA,NA,591.498,NA
1975-11-05,310.534,NA,NA,591.498,NA
1975-11-06,310.677,NA,NA,591.501,NA
1975-11-07,311.251,NA,NA,591.513,NA
1975-11-08,311.251,NA,NA,591.513,NA
1975-11-09,311.539,NA,NA,591.519,NA
1975-11-10,312.115,NA,NA,591.531,NA
1975-11-11,312.403,NA,NA,591.538,NA
1975-11-12,312.548,NA,NA,591.541,NA
1975-11-13,311.826,NA,NA,591.525,NA
1975-11-14,311.971,NA,NA,591.528,NA
1975-11-15,312.115,NA,NA,591.531,NA
1975-11-16,312.403,NA,NA,591.538,NA
1975-11-17,312.403,NA,NA,591.538,NA
1975-11-18,312.548,NA,NA,591.541,NA
1975-11-19,313.559,NA,NA,591.562,NA
1975-11-20,317.052,NA,NA,591.635,NA
1975-11-21,315.155,NA,NA,591.595,NA
1975-11-22,314.864,NA,NA,591.589,NA
1975-11-23,314.864,NA,NA,591.589,NA
1975-11-24,315.01,NA,NA,591.592,NA
1975-11-25,314.719,NA,NA,591.586,NA
1975-11-26,315.883,NA,NA,591.611,NA
1975-11-27,315.592,NA,NA,591.605,NA
1975-11-28,315.738,NA,NA,591.608,NA
1975-11-29,315.883,NA,NA,591.611,NA
1975-11-30,316.175,NA,NA,591.617,NA
1975-12-01,316.175,NA,NA,591.617,NA
1975-12-02,316.175,NA,NA,591.617,NA
1975-12-03,316.322,NA,NA,591.62,NA
1975-12-04,316.615,NA,NA,591.626,NA
1975-12-05,317.052,NA,NA,591.635,NA
1975-12-06,317.345,NA,NA,591.641,NA
1975-12-07,317.345,NA,NA,591.641,NA
1975-12-08,317.931,NA,NA,591.653,NA
1975-12-09,318.372,NA,NA,591.663,NA
1975-12-10,318.813,NA,NA,591.672,NA
1975-12-11,319.107,NA,NA,591.678,NA
1975-12-12,319.402,NA,NA,591.684,NA
1975-12-13,320.14,NA,NA,591.699,NA
1975-12-14,320.879,NA,NA,591.714,NA
1975-12-15,321.175,NA,NA,591.72,NA
1975-12-16,321.619,NA,NA,591.73,NA
1975-12-17,321.619,NA,NA,591.73,NA
1975-12-18,321.767,NA,NA,591.733,NA
1975-12-19,322.063,NA,NA,591.739,NA
1975-12-20,322.509,NA,NA,591.748,NA
1975-12-21,322.807,NA,NA,591.754,NA
1975-12-22,323.104,NA,NA,591.76,NA
1975-12-23,323.401,NA,NA,591.766,NA
1975-12-24,323.698,NA,NA,591.772,NA
1975-12-25,324.295,NA,NA,591.784,NA
1975-12-26,324.742,NA,NA,591.794,NA
1975-12-27,325.191,NA,NA,591.803,NA
1975-12-28,325.79,NA,NA,591.815,NA
1975-12-29,326.238,NA,NA,591.824,NA
1975-12-30,326.988,NA,NA,591.839,NA
1975-12-31,327.438,NA,NA,591.848,NA
1976-01-01,328.039,NA,NA,591.861,NA
1976-01-02,328.641,NA,NA,591.873,NA
1976-01-03,328.942,NA,NA,591.879,NA
1976-01-04,329.092,NA,NA,591.882,NA
1976-01-05,329.243,NA,NA,591.885,NA
1976-01-06,329.693,NA,NA,591.894,NA
1976-01-07,329.847,NA,NA,591.897,NA
1976-01-08,329.847,NA,NA,591.897,NA
1976-01-09,330.148,NA,NA,591.903,NA
1976-01-10,330.451,NA,NA,591.909,NA
1976-01-11,330.601,NA,NA,591.912,NA
1976-01-12,330.751,NA,NA,591.915,NA
1976-01-13,331.055,NA,NA,591.922,NA
1976-01-14,331.207,NA,NA,591.925,NA
1976-01-15,331.509,NA,NA,591.931,NA
1976-01-16,331.812,NA,NA,591.937,NA
1976-01-17,332.114,NA,NA,591.943,NA
1976-01-18,332.568,NA,NA,591.952,NA
1976-01-19,333.025,NA,NA,591.961,NA
1976-01-20,333.328,NA,NA,591.967,NA
1976-01-21,333.785,NA,NA,591.976,NA
1976-01-22,334.394,NA,NA,591.989,NA
1976-01-23,334.852,NA,NA,591.998,NA
1976-01-24,335.461,NA,NA,592.01,NA
1976-01-25,336.183,NA,NA,592.025,NA
1976-01-26,336.839,NA,NA,592.037,NA
1976-01-27,337.453,NA,NA,592.05,NA
1976-01-28,338.066,NA,NA,592.062,NA
1976-01-29,338.373,NA,NA,592.068,NA
1976-01-30,338.68,NA,NA,592.074,NA
1976-01-31,339.296,NA,NA,592.086,NA
1976-02-01,340.22,NA,NA,592.104,NA
1976-02-02,341.145,NA,NA,592.123,NA
1976-02-03,341.762,NA,NA,592.135,NA
1976-02-04,342.262,NA,NA,592.144,NA
1976-02-05,342.534,NA,NA,592.15,NA
1976-02-06,342.842,NA,NA,592.156,NA
1976-02-07,343.152,NA,NA,592.162,NA
1976-02-08,343.461,NA,NA,592.168,NA
1976-02-09,343.926,NA,NA,592.178,NA
1976-02-10,344.544,NA,NA,592.19,NA
1976-02-11,345.319,NA,NA,592.205,NA
1976-02-12,346.248,NA,NA,592.223,NA
1976-02-13,346.869,NA,NA,592.236,NA
1976-02-14,347.491,NA,NA,592.248,NA
1976-02-15,347.491,NA,NA,592.248,NA
1976-02-16,347.491,NA,NA,592.248,NA
1976-02-17,347.491,NA,NA,592.248,NA
1976-02-18,349.979,NA,NA,592.296,NA
1976-02-19,350.914,NA,NA,592.315,NA
1976-02-20,350.914,NA,NA,592.315,NA
1976-02-21,352.162,NA,NA,592.339,NA
1976-02-22,352.318,NA,NA,592.342,NA
1976-02-23,352.788,NA,NA,592.351,NA
1976-02-24,353.413,NA,NA,592.364,NA
1976-02-25,353.882,NA,NA,592.373,NA
1976-02-26,354.195,NA,NA,592.379,NA
1976-02-27,354.508,NA,NA,592.385,NA
1976-02-28,354.978,NA,NA,592.394,NA
1976-02-29,352.981,NA,NA,592.403,NA
1976-03-01,355.605,NA,NA,592.406,NA
1976-03-02,356.391,NA,NA,592.421,NA
1976-03-03,356.705,NA,NA,592.428,NA
1976-03-04,357.333,NA,NA,592.44,NA
1976-03-05,358.12,NA,NA,592.455,NA
1976-03-06,358.12,NA,NA,592.455,NA
1976-03-07,358.277,NA,NA,592.458,NA
1976-03-08,358.434,NA,NA,592.461,NA
1976-03-09,359.378,NA,NA,592.479,NA
1976-03-10,360.166,NA,NA,592.495,NA
1976-03-11,360.166,NA,NA,592.495,NA
1976-03-12,363.956,NA,NA,592.568,NA
1976-03-13,361.902,NA,NA,592.528,NA
1976-03-14,361.902,NA,NA,592.528,NA
1976-03-15,361.744,NA,NA,592.525,NA
1976-03-16,362.85,NA,NA,592.546,NA
1976-03-17,363.482,NA,NA,592.559,NA
1976-03-18,364.271,NA,NA,592.574,NA
1976-03-19,364.588,NA,NA,592.58,NA
1976-03-20,365.538,NA,NA,592.598,NA
1976-03-21,365.379,NA,NA,592.595,NA
1976-03-22,365.696,NA,NA,592.601,NA
1976-03-23,365.854,NA,NA,592.604,NA
1976-03-24,366.329,NA,NA,592.614,NA
1976-03-25,366.646,NA,NA,592.62,NA
1976-03-26,367.281,NA,NA,592.632,NA
1976-03-27,367.439,NA,NA,592.635,NA
1976-03-28,367.281,NA,NA,592.632,NA
1976-03-29,368.232,NA,NA,592.65,NA
1976-03-30,369.343,NA,NA,592.671,NA
1976-03-31,369.502,NA,NA,592.674,NA
1976-04-01,369.66,NA,NA,592.678,NA
1976-04-02,369.98,NA,NA,592.684,NA
1976-04-03,370.298,NA,NA,592.69,NA
1976-04-04,370.298,NA,NA,592.69,NA
1976-04-05,370.616,NA,NA,592.696,NA
1976-04-06,371.733,NA,NA,592.717,NA
1976-04-07,372.691,NA,NA,592.735,NA
1976-04-08,373.33,NA,NA,592.748,NA
1976-04-09,374.612,NA,NA,592.772,NA
1976-04-10,376.221,NA,NA,592.802,NA
1976-04-11,376.221,NA,NA,592.802,NA
1976-04-12,376.221,NA,NA,592.802,NA
1976-04-13,380.272,NA,NA,592.879,NA
1976-04-14,381.25,NA,NA,592.897,NA
1976-04-15,381.904,NA,NA,592.909,NA
1976-04-16,383.869,NA,NA,592.946,NA
1976-04-17,384.526,NA,NA,592.958,NA
1976-04-18,386.006,NA,NA,592.985,NA
1976-04-19,385.677,NA,NA,592.979,NA
1976-04-20,386.171,NA,NA,592.988,NA
1976-04-21,386.665,NA,NA,592.998,NA
1976-04-22,387.16,NA,NA,593.007,NA
1976-04-23,388.151,NA,NA,593.025,NA
1976-04-24,389.639,NA,NA,593.052,NA
1976-04-25,389.474,NA,NA,593.049,NA
1976-04-26,389.474,NA,NA,593.049,NA
1976-04-27,388.978,NA,NA,593.04,NA
1976-04-28,390.799,NA,NA,593.074,NA
1976-04-29,391.629,NA,NA,593.089,NA
1976-04-30,394.451,NA,NA,593.141,NA
1976-05-01,395.449,NA,NA,593.159,NA
1976-05-02,396.115,NA,NA,593.171,NA
1976-05-03,396.115,NA,NA,593.171,NA
1976-05-04,396.448,NA,NA,593.177,NA
1976-05-05,396.949,NA,NA,593.187,NA
1976-05-06,397.449,NA,NA,593.196,NA
1976-05-07,397.783,NA,NA,593.202,NA
1976-05-08,397.95,NA,NA,593.205,NA
1976-05-09,398.285,NA,NA,593.211,NA
1976-05-10,398.619,NA,NA,593.217,NA
1976-05-11,398.953,NA,NA,593.223,NA
1976-05-12,399.788,NA,NA,593.238,NA
1976-05-13,400.124,NA,NA,593.244,NA
1976-05-14,399.956,NA,NA,593.241,NA
1976-05-15,400.124,NA,NA,593.244,NA
1976-05-16,400.96,NA,NA,593.26,NA
1976-05-17,400.124,NA,NA,593.244,NA
1976-05-18,400.124,NA,NA,593.244,NA
1976-05-19,400.124,NA,NA,593.244,NA
1976-05-20,400.291,NA,NA,593.247,NA
1976-05-21,400.458,NA,NA,593.251,NA
1976-05-22,403.983,NA,NA,593.315,NA
1976-05-23,404.993,NA,NA,593.333,NA
1976-05-24,406.342,NA,NA,593.357,NA
1976-05-25,407.859,NA,NA,593.385,NA
1976-05-26,408.704,NA,NA,593.4,NA
1976-05-27,409.378,NA,NA,593.412,NA
1976-05-28,410.056,NA,NA,593.424,NA
