date,storage,inflow,outflow,evaporation,elevation
1980-01-01,14.654,NA,0.001,NA,NA
1980-01-02,14.666,NA,0.001,NA,NA
1980-01-03,14.666,NA,0.01,NA,NA
1980-01-04,14.666,NA,0.011,NA,NA
1980-01-05,14.666,NA,0.011,NA,NA
1980-01-06,14.666,NA,0.011,NA,NA
1980-01-07,14.666,NA,0.012,NA,NA
1980-01-08,14.678,NA,0.012,NA,NA
1980-01-09,14.752,NA,0.018,NA,NA
1980-01-10,14.789,NA,0.096,NA,NA
1980-01-11,14.851,NA,0.136,NA,NA
1980-01-12,14.9,NA,0.249,NA,NA
1980-01-13,14.937,NA,0.34,NA,NA
1980-01-14,14.999,NA,0.396,NA,NA
1980-01-15,14.999,NA,0.368,NA,NA
1980-01-16,14.999,NA,0.368,NA,NA
1980-01-17,14.987,NA,0.368,NA,NA
1980-01-18,14.974,NA,0.368,NA,NA
1980-01-19,14.95,NA,0.311,NA,NA
1980-01-20,14.925,NA,0.283,NA,NA
1980-01-21,14.913,NA,0.255,NA,NA
1980-01-22,14.9,NA,0.221,NA,NA
1980-01-23,14.876,NA,0.195,NA,NA
1980-01-24,14.876,NA,0.173,NA,NA
1980-01-25,14.851,NA,0.159,NA,NA
1980-01-26,14.839,NA,0.159,NA,NA
1980-01-27,14.826,NA,0.142,NA,NA
1980-01-28,14.839,NA,0.127,NA,NA
1980-01-29,14.839,NA,0.119,NA,NA
1980-01-30,14.826,NA,0.11,NA,NA
1980-01-31,14.826,NA,0.105,NA,NA
1980-02-01,14.814,NA,0.099,NA,NA
1980-02-02,14.814,NA,0.093,NA,NA
1980-02-03,14.802,NA,0.091,NA,NA
1980-02-04,14.802,NA,0.088,NA,NA
1980-02-05,14.802,NA,0.085,NA,NA
1980-02-06,14.777,NA,0.085,NA,NA
1980-02-07,14.789,NA,0.093,NA,NA
1980-02-08,14.777,NA,0.085,NA,NA
1980-02-09,14.777,NA,0.076,NA,NA
1980-02-10,14.777,NA,0.074,NA,NA
1980-02-11,14.765,NA,0.071,NA,NA
1980-02-12,14.765,NA,0.068,NA,NA
1980-02-13,14.765,NA,0.065,NA,NA
1980-02-14,14.765,NA,0.071,NA,NA
1980-02-15,14.802,NA,0.093,NA,NA
1980-02-16,14.814,NA,0.102,NA,NA
1980-02-17,14.814,NA,0.125,NA,NA
1980-02-18,14.863,NA,0.193,NA,NA
1980-02-19,14.925,NA,0.269,NA,NA
1980-02-20,14.987,NA,0.283,NA,NA
1980-02-21,14.987,NA,0.34,NA,NA
1980-02-22,14.974,NA,0.34,NA,NA
1980-02-23,14.95,NA,0.311,NA,NA
1980-02-24,14.925,NA,0.28,NA,NA
1980-02-25,14.913,NA,0.244,NA,NA
1980-02-26,14.888,NA,0.207,NA,NA
1980-02-27,14.888,NA,0.184,NA,NA
1980-02-28,14.876,NA,0.19,NA,NA
1980-02-29,14.863,NA,0.173,NA,NA
1980-03-01,14.851,NA,0.161,NA,NA
1980-03-02,14.851,NA,0.159,NA,NA
1980-03-03,14.851,NA,0.164,NA,NA
1980-03-04,14.876,NA,0.17,NA,NA
1980-03-05,14.876,NA,0.184,NA,NA
1980-03-06,14.876,NA,0.193,NA,NA
1980-03-07,14.9,NA,0.212,NA,NA
1980-03-08,14.876,NA,0.187,NA,NA
1980-03-09,14.863,NA,0.17,NA,NA
1980-03-10,14.851,NA,0.161,NA,NA
1980-03-11,14.839,NA,0.161,NA,NA
1980-03-12,14.851,NA,0.159,NA,NA
1980-03-13,14.839,NA,0.147,NA,NA
1980-03-14,14.839,NA,0.142,NA,NA
1980-03-15,14.814,NA,0.125,NA,NA
1980-03-16,14.814,NA,0.11,NA,NA
1980-03-17,14.802,NA,0.108,NA,NA
1980-03-18,14.802,NA,0.105,NA,NA
1980-03-19,14.802,NA,0.096,NA,NA
1980-03-20,14.789,NA,0.096,NA,NA
1980-03-21,14.826,NA,0.119,NA,NA
1980-03-22,14.826,NA,0.13,NA,NA
1980-03-23,14.826,NA,0.116,NA,NA
1980-03-24,14.814,NA,0.11,NA,NA
1980-03-25,14.802,NA,0.102,NA,NA
1980-03-26,14.802,NA,0.096,NA,NA
1980-03-27,14.802,NA,0.091,NA,NA
1980-03-28,14.789,NA,0.085,NA,NA
1980-03-29,14.789,NA,0.082,NA,NA
1980-03-30,14.777,NA,0.076,NA,NA
1980-03-31,14.765,NA,0.074,NA,NA
1980-04-01,14.765,NA,0.076,NA,NA
1980-04-02,14.752,NA,0.088,NA,NA
1980-04-03,14.74,NA,0.079,NA,NA
1980-04-04,14.728,NA,0.076,NA,NA
1980-04-05,14.728,NA,0.116,NA,NA
1980-04-06,14.74,NA,0.13,NA,NA
1980-04-07,14.74,NA,0.108,NA,NA
1980-04-08,14.74,NA,0.096,NA,NA
1980-04-09,14.752,NA,0.093,NA,NA
1980-04-10,14.752,NA,0.085,NA,NA
1980-04-11,14.765,NA,0.082,NA,NA
1980-04-12,14.765,NA,0.076,NA,NA
1980-04-13,14.777,NA,0.076,NA,NA
1980-04-14,14.777,NA,0.076,NA,NA
1980-04-15,14.789,NA,0.074,NA,NA
1980-04-16,14.789,NA,0.076,NA,NA
1980-04-17,14.789,NA,0.076,NA,NA
1980-04-18,14.802,NA,0.082,NA,NA
1980-04-19,14.802,NA,0.088,NA,NA
1980-04-20,14.814,NA,0.099,NA,NA
1980-04-21,14.826,NA,0.116,NA,NA
1980-04-22,14.839,NA,0.127,NA,NA
1980-04-23,14.839,NA,0.13,NA,NA
1980-04-24,14.839,NA,0.127,NA,NA
1980-04-25,14.839,NA,0.125,NA,NA
1980-04-26,14.851,NA,0.136,NA,NA
1980-04-27,14.851,NA,0.139,NA,NA
1980-04-28,14.863,NA,0.147,NA,NA
1980-04-29,14.863,NA,0.156,NA,NA
1980-04-30,14.876,NA,0.167,NA,NA
1980-05-01,14.876,NA,0.17,NA,NA
1980-05-02,14.876,NA,0.178,NA,NA
1980-05-03,14.888,NA,0.184,NA,NA
1980-05-04,14.913,NA,0.178,NA,NA
1980-05-05,14.913,NA,0.201,NA,NA
1980-05-06,14.925,NA,0.21,NA,NA
1980-05-07,14.937,NA,0.227,NA,NA
1980-05-08,14.925,NA,0.255,NA,NA
1980-05-09,14.95,NA,0.283,NA,NA
1980-05-10,14.962,NA,0.311,NA,NA
1980-05-11,14.962,NA,0.34,NA,NA
1980-05-12,14.962,NA,0.34,NA,NA
1980-05-13,14.95,NA,0.311,NA,NA
1980-05-14,14.95,NA,0.283,NA,NA
1980-05-15,14.937,NA,0.283,NA,NA
1980-05-16,14.937,NA,0.278,NA,NA
1980-05-17,14.937,NA,0.278,NA,NA
1980-05-18,14.937,NA,0.221,NA,NA
1980-05-19,14.962,NA,0.164,NA,NA
1980-05-20,14.974,NA,0.19,NA,NA
1980-05-21,14.987,NA,0.235,NA,NA
1980-05-22,14.974,NA,0.311,NA,NA
1980-05-23,14.987,NA,0.311,NA,NA
1980-05-24,14.987,NA,0.311,NA,NA
1980-05-25,14.987,NA,0.283,NA,NA
1980-05-26,14.974,NA,0.283,NA,NA
1980-05-27,14.962,NA,0.275,NA,NA
1980-05-28,14.962,NA,0.269,NA,NA
1980-05-29,14.962,NA,0.269,NA,NA
1980-05-30,14.962,NA,0.266,NA,NA
1980-05-31,14.962,NA,0.266,NA,NA
1980-06-01,14.95,NA,0.283,NA,NA
1980-06-02,14.937,NA,0.311,NA,NA
1980-06-03,14.925,NA,0.283,NA,NA
1980-06-04,14.925,NA,0.283,NA,NA
1980-06-05,14.925,NA,0.278,NA,NA
1980-06-06,14.913,NA,0.261,NA,NA
1980-06-07,14.913,NA,0.249,NA,NA
1980-06-08,14.913,NA,0.241,NA,NA
1980-06-09,14.9,NA,0.232,NA,NA
1980-06-10,14.888,NA,0.229,NA,NA
1980-06-11,14.876,NA,0.221,NA,NA
1980-06-12,14.876,NA,0.193,NA,NA
1980-06-13,14.863,NA,0.176,NA,NA
1980-06-14,14.863,NA,0.17,NA,NA
1980-06-15,14.863,NA,0.161,NA,NA
1980-06-16,14.863,NA,0.142,NA,NA
1980-06-17,14.851,NA,0.144,NA,NA
1980-06-18,14.851,NA,0.136,NA,NA
1980-06-19,14.839,NA,0.13,NA,NA
1980-06-20,14.839,NA,0.125,NA,NA
1980-06-21,14.826,NA,0.11,NA,NA
1980-06-22,14.814,NA,0.091,NA,NA
1980-06-23,14.814,NA,0.085,NA,NA
1980-06-24,14.814,NA,0.079,NA,NA
1980-06-25,14.814,NA,0.076,NA,NA
1980-06-26,14.802,NA,0.074,NA,NA
1980-06-27,14.802,NA,0.065,NA,NA
1980-06-28,14.802,NA,0.062,NA,NA
1980-06-29,14.802,NA,0.062,NA,NA
1980-06-30,14.802,NA,0.062,NA,NA
1980-07-01,14.802,NA,0.062,NA,NA
1980-07-02,14.826,NA,0.068,NA,NA
1980-07-03,14.826,NA,0.074,NA,NA
1980-07-04,14.814,NA,0.074,NA,NA
1980-07-05,14.814,NA,0.068,NA,NA
1980-07-06,14.814,NA,0.068,NA,NA
1980-07-07,14.814,NA,0.065,NA,NA
1980-07-08,14.802,NA,0.062,NA,NA
1980-07-09,14.789,NA,0.059,NA,NA
1980-07-10,14.802,NA,0.054,NA,NA
1980-07-11,14.789,NA,0.054,NA,NA
1980-07-12,14.789,NA,0.051,NA,NA
1980-07-13,14.789,NA,0.048,NA,NA
1980-07-14,14.789,NA,0.048,NA,NA
1980-07-15,14.789,NA,0.045,NA,NA
1980-07-16,14.777,NA,0.045,NA,NA
1980-07-17,14.777,NA,0.042,NA,NA
1980-07-18,14.765,NA,0.04,NA,NA
1980-07-19,14.765,NA,0.037,NA,NA
1980-07-20,14.765,NA,0.034,NA,NA
1980-07-21,14.765,NA,0.031,NA,NA
1980-07-22,14.752,NA,0.04,NA,NA
1980-07-23,14.752,NA,0.045,NA,NA
1980-07-24,14.74,NA,0.042,NA,NA
1980-07-25,14.74,NA,0.04,NA,NA
1980-07-26,14.728,NA,0.037,NA,NA
1980-07-27,14.728,NA,0.037,NA,NA
1980-07-28,14.715,NA,0.037,NA,NA
1980-07-29,14.715,NA,0.037,NA,NA
1980-07-30,14.715,NA,0.034,NA,NA
1980-07-31,14.703,NA,0.031,NA,NA
1980-08-01,14.691,NA,0.028,NA,NA
1980-08-02,14.691,NA,0.026,NA,NA
1980-08-03,14.678,NA,0.022,NA,NA
1980-08-04,14.666,NA,0.019,NA,NA
1980-08-05,14.666,NA,0.018,NA,NA
1980-08-06,14.654,NA,0.016,NA,NA
1980-08-07,14.654,NA,0.015,NA,NA
1980-08-08,14.641,NA,0.014,NA,NA
1980-08-09,14.629,NA,0.012,NA,NA
1980-08-10,14.629,NA,0.009,NA,NA
1980-08-11,14.617,NA,0.009,NA,NA
1980-08-12,14.617,NA,0.007,NA,NA
1980-08-13,14.617,NA,0.006,NA,NA
1980-08-14,14.604,NA,0.005,NA,NA
1980-08-15,14.604,NA,0.003,NA,NA
1980-08-16,14.604,NA,0.003,NA,NA
1980-08-17,14.592,NA,0.002,NA,NA
1980-08-18,14.592,NA,0.005,NA,NA
1980-08-19,14.592,NA,0.001,NA,NA
1980-08-20,14.58,NA,0.001,NA,NA
1980-08-21,14.58,NA,0.001,NA,NA
1980-08-22,14.58,NA,0.001,NA,NA
1980-08-23,14.58,NA,0.001,NA,NA
1980-08-24,14.58,NA,0.001,NA,NA
1980-08-25,14.58,NA,0.001,NA,NA
1980-08-26,14.567,NA,0.001,NA,NA
1980-08-27,14.567,NA,0.001,NA,NA
1980-08-28,14.567,NA,0.001,NA,NA
1980-08-29,14.555,NA,0.002,NA,NA
1980-08-30,14.543,NA,0.001,NA,NA
1980-08-31,14.543,NA,0.001,NA,NA
1980-09-01,14.543,NA,0.001,NA,NA
1980-09-02,14.543,NA,0.001,NA,NA
1980-09-03,14.543,NA,0.001,NA,NA
1980-09-04,14.543,NA,0.001,NA,NA
1980-09-05,14.567,NA,0.001,NA,NA
1980-09-06,14.567,NA,0.001,NA,NA
1980-09-07,14.567,NA,0.001,NA,NA
1980-09-08,14.567,NA,0.001,NA,NA
1980-09-09,14.567,NA,0.001,NA,NA
1980-09-10,14.567,NA,0.001,NA,NA
1980-09-11,14.58,NA,0.001,NA,NA
1980-09-12,14.567,NA,0.002,NA,NA
1980-09-13,14.555,NA,0.004,NA,NA
1980-09-14,14.555,NA,0.001,NA,NA
1980-09-15,14.555,NA,0.001,NA,NA
1980-09-16,14.555,NA,0.001,NA,NA
1980-09-17,14.555,NA,0.001,NA,NA
1980-09-18,14.543,NA,0.001,NA,NA
1980-09-19,14.543,NA,0.001,NA,NA
